,conversation
561,"Hi, Mindy. Hi, it-it's Rachel. Yeah, I'm fine. I-I saw Barry today. Oh, yeah, yeah he-he told me. No, no, it's okay. I hope you two are very happy, I really do. Oh, oh, and Mind, y'know, if-if everything works out, and you guys end up getting married and having kids- and everything- I just hope they have his old hairline and your old nose.   Okay, I know it was a cheap shot, but I feel so much better now."
562,Jeffrey Astrof & Mike Sikowitz.  Transcribed by: guineapig
563,"Central Perk, everyone but Phoebe is there.]"
564,Hi guys!
565,"Hey, Pheebs! Hi!"
566,"Hey. Oh, oh, how'd it go?"
567,"Um, not so good. He walked me to the subway and said 'We should do this again!'"
568,Ohh. Ouch.
569,"What? He said 'we should do it again', that's good, right?"
570,"Uh, no. Loosely translated 'We should do this again' means 'You will never see me naked'."
571,Since when?
572,"Since always. It's like dating language. Y'know, like 'It's not you' means 'It is you'."
573,Or 'You're such a nice guy' means 'I'm gonna be dating leather-wearing alcoholics and complaining about them to you'.
574,"Or, or, y'know, um, 'I think we should see other people' means 'Ha, ha, I already am'."
575,And everybody knows this?
576,Yeah. Cushions the blow.
577,"Yeah, it's like when you're a kid, and your parents put your dog to sleep, and they tell you it went off to live on some farm."
578,"That's funny, that, no, because, uh, our parents actually did, uh, send our dog off to live on a farm."
579,"Uh, Ross."
580,"What? Wh- hello? The Millners' farm in Connecticut? The Millners, they had this unbelievable farm, they had horses, and, and rabbits that he could chase and it was- it w- .....Oh my God, Chi Chi!"
581,"Chandler and Joey's, Chandler is helping Joey rehearse for a part.]"
582,"""So how does it feel knowing you're about to die?"""
583,"""Warden, in five minutes my pain will be over. But you'll have to live with the knowledge that you sent an honest man to die."""
584,"Hey, that was really good!"
585,Thanks! Let's keep going.
586,"Okay. ""So. Whaddya want from me, Damone, huh?"""
587,"""I just wanna go back to my cell. 'Cause in my cell, I can smoke."""
588,"""Smoke away."""
589,I think this is probably why Damone smokes in his cell alone.
590,What?
591,Relax your hand!
592,Not so much!
593,Whoah!
594,Hey!
595,Hey!
596,"Alright, now try taking a puff."
597,Alright.. okay. No. Give it to me.
598,"No no no, I am not giving you a cigarette."
599,"It's fine, it's fine. Look, do you wanna get this part, or not? Here."
600,"Don't think of it as a cigarette. Think of it as the thing that's been missing from your hand. When you're holding it, you feel right. You feel complete."
601,Y'miss it?
602,"Nah, not so much. Alright, now we smoke.  Oh.. my.. God."
603,"No, no, no. They say it's the same as the distance from the tip of a guy's thumb to the tip of his index finger."
604,That's ridiculous!
605,Can I use.. either thumb?
606,"Alright, don't tell me, don't tell me!  Decaf cappucino for Joey.. Coffee black.. Late.. And an iced tea. I'm getting pretty good at this!"
607,"Yeah. Yeah, excellent."
608,Good for me!
609,"Y'okay, Phoebe?"
610,"Yeah- no- I'm just- it's, I haven't worked- It's my bank."
611,What did they do to you?
612,"It's nothing, it's just- Okay. I'm going through my mail, and I open up their monthly, you know, STATEMENT-"
613,Easy.
614,- and there's five hundred extra dollars in my account.
615,"Oh, Satan's minions at work again..."
616,"Yes, 'cause now I have to go down there, and deal with them."
617,What are you talking about? Keep it!
618,"It's not mine, I didn't earn it, if I kept it, it would be like stealing."
619,"Yeah, but if you spent it, it would be like shopping!"
620,"Okay. Okay, let's say I bought a really great pair of shoes. Do you know what I'd hear, with every step I took? 'Not-mine. Not-mine. Not-mine.' And even if I was happy, okay, and, and skipping- 'Not-not-mine, not-not-mine, not-not-mine, not-not-mine'..."
621,We're with you. We got it.
622,Okay. I'd- just- I'd never be able to enjoy it. It would be like this giant karmic debt.
623,"Chandler, what are you doing?"
624,Hey. Whaddya doing?
625,"Oh! Oh, God!"
626,What is this?!
627,"I'm smoking. I'm smoking, I'm smoking."
628,"Oh, I can't believe you! You've been so good, for three years!"
629,And this- is my reward!
630,"Hold on a second, alright? Just think about what you went through the last time you quit."
631,"Okay, so this time I won't quit!"
632,Ohhh! Put it out!
633,"All right! I'm putting it out, I'm putting it out."
634,"Oh, no! I- I can't drink this now!"
635,"Alright. I'm gonna go change, I've got a date."
636,This Alan again? How's it goin'?
637,"'S'going pretty good, y'know? It's nice, and, we're having fun."
638,So when do we get to meet the guy?
639,"Let's see, today's Monday... Never."
640,"Oh, come on! Come on!"
641,No. Not after what happened with Steve.
642,What are you talking about? We love Schhteve! Schhteve was schhexy!.. Sorry.
643,"Look, I don't even know how I feel about him yet. Just give me a chance to figure that out."
644,"Well, then can we meet him?"
645,Nope. Schhorry.
646,"Iridium, Monica and Paula are at work.]"
647,"I mean, why should I let them meet him? I mean, I bring a guy home, and within five minutes they're all over him. I mean, they're like- coyotes, picking off the weak members of the herd."
648,"Listen. As someone who's seen more than her fair share of bad beef, I'll tell you: that is not such a terrible thing. I mean, they're your friends, they're just looking out after you."
649,"I know. I just wish that once, I'd bring a guy home that they actually liked."
650,"Well, you do realise the odds of that happening are a little slimmer if they never get to meet the guy.."
651,"Monica and Rachel's, Chandler is smoking out on the balcony, Phoebe is absent.]"
652,"Let it go, Ross."
653,"Yeah, well, you didn't know Chi Chi."
654,Do you all promise?
655,Yeah! We promise! We'll be good!
656,Chandler? Do you promise to be good?
657,"You can come in, but your filter-tipped little buddy has to stay outside!"
658,"Hey, Pheebs."
659,"'Dear Ms. Buffay. Thank you for calling attention to our error. We have credited your account with five hundred dollars. We're sorry for the inconvenience, and hope you'll accept this-  -football phone as our free gift.' Do you believe this?! Now I have a thousand dollars, and a football phone!"
660,What bank is this?
661,Hey. It's him.  Who is it?
662,It's Alan.
663,Chandler! He's here!
664,"Okay, please be good, please. Just remember how much you all like me."
665,"Hi. Alan, this is everybody. Everybody, this is Alan."
666,Hi.
667,"Hi, Alan."
668,I've heard schho much about all you guyschh!
669,"Thanks. I'll call you tomorrow.  Okay. Okay, let's let the Alan-bashing begin. Who's gonna take the first shot, hmm?"
670,C'mon!
671,"...I'll go. Let's start with the way he kept picking at- no, I'm sorry, I can't do this, can't do this. We loved him."
672,Loved him! Yeah! He's great!
673,Wait a minute! We're talking about someone that I'm going out with?
674,Yeah!
675,And did you notice...?
676,Yeah.
677,Know what was great? The way his smile was kinda crooked.
678,"Yes, yes! Like the man in the shoe!"
679,...What shoe?
680,"From the nursery rhyme. 'There was a crooked man, Who had a crooked smile, Who lived in a shoe, For a... while...'"
681,...So I think Alan will become the yardstick against which all future boyfriends will be measured.
682,"What future boyfriends? Nono, I th- I think this could be, y'know, it."
683,Really!
684,"Oh, yeah. I'd marry him just for his David Hasselhof impression alone. You know I'm gonna be doing that at parties, right?"
685,"You know what I like most about him, though?"
686,What?
687,The way he makes me feel about myself.
688,Yeah...
689,"Central Perk, Monica is alone as Ross, Rachel, Chandler, and Joey enter dejectedly in softball gear.]"
690,Hi.. how was the game?
691,Well..
692,WE WON!! Thank you! Yes!
693,Fantastic! I have one question: How is that possible?
694,Alan.
695,"He was unbelievable. He was like that-that-that Bugs Bunny cartoon where Bugs is playing all the positions, right, but instead of Bugs it was first base-Alan, second base-Alan, third base-..."
696,"I mean, it-it was like, it was like he made us into a team."
697,"Yep, we sure showed those Hassidic jewellers a thing or two about softball.."
698,Can I ask you guys a question? D'you ever think that Alan is maybe.. sometimes..
699,What?
700,"..I dunno, a little too Alan?"
701,"Well, no. That's impossible. You can never be too Alan."
702,"Yeah, it's his, uh, innate Alan-ness that-that-that we adore."
703,I personally could have a gallon of Alan.
704,"A street, Phoebe walks up to a homeless person  she knows.]"
705,"Hey, Lizzie."
706,"Hey, Weird Girl."
707,I brought you alphabet soup.
708,Did you pick out the vowels?
709,"Yes. But I left in the Ys. 'Cause, y'know, ""sometimes y"". Uh, I also have something else for you."
710,Saltines?
711,"No, but would you like a thousand dollars and a football phone?"
712,"What?  Oh my God, there's really money in here."
713,I know.
714,"Weird Girl, what are you doing?"
715,"No, I want you to have it. I don't want it."
716,"No, no, I ha-I have to give you something."
717,"Oh, that's fine, no."
718,Would you like my tin-foil hat?
719,"No. 'Cause you need that. No, it's okay, thanks."
720,"Please, let me do something."
721,"Okay, alright, you buy me a soda, and then we're even. Okay?"
722,Okay.
723,Okay.
724,"Chandler's office, Chandler looks around, opens his desk drawer, takes a puff of a cigarette, sprays around some air freshener, and takes some breath spray.  He types for a little while, opens the drawer again, and takes another drag of the cigarette.   While not paying attention, he sprays the breath spray around the room, takes a squirt of air freshener and gags.]"
725,"A Street, Phoebe and Lizzie are at a hot dog vendor.]"
726,Keep the change.  Sure you don't wanna pretzel?
727,"No, I'm fine."
728,See ya.
729,Huh!
730,"Central Perk, Phoebe is telling everyone about her discovery.]"
731,A thumb?!
732,Eww!
733,"I know! I know, I opened it up and there it was, just floating in there, like this tiny little hitch-hiker!"
734,"Well, maybe it's a contest, y'know? Like, collect all five?"
735,"Does, um, anyone wanna see?"
736,Nooo!
737,"Oh, hey, don't do that! Cut it out!"
738,It's worse than the thumb!
739,"Hey, this is so unfair!"
740,"Oh, why is it unfair?"
741,"So I have a flaw! Big deal! Like Joey's constant knuckle-cracking isn't annoying? And Ross, with his over-pronouncing every single word? And Monica, with that snort when she laughs? I mean, what the hell is that thing? ...I accept all those flaws, why can't you accept me for this?"
742,...Does the knuckle-cracking bother everybody?
743,"Well, I-I could live without it."
744,"Well, is it, like, a little annoying, or is it like when Phoebe chews her hair?"
745,"Oh, now, don't listen to him, Pheebs, I think it's endearing."
746,"Oh,  ""you do, do you""?"
747,"You know, there's nothing wrong with speaking correctly."
748,"""Indeed there isn't""... I should really get back to work."
749,"Yeah, 'cause otherwise someone might get what they actually ordered."
750,"Ohh-ho-hooohhh. The hair comes out, and the gloves come on."
